legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
6629ce9dda07ced6d1f6cb49b2df6b5b,4/16/2022,4/17/2022,ATL,EWR,L0AHZNN1,PT5H31M,0,FALSE,FALSE,FALSE,264.19,306.1,1,773,1650207720||1650221280,2022-04-17T11:02:00.000-04:00||2022-04-17T14:48:00.000-04:00,1650212880||1650227580,2022-04-17T12:28:00.000-04:00||2022-04-17T16:33:00.000-04:00,CLT||EWR,ATL||CLT,American Airlines||American Airlines,AA||AA,Canadair Regional Jet 900||Airbus A321,5160||6300,228||545,coach||coach
380331857ea93adce93987fbc5f8a691,4/16/2022,4/17/2022,ATL,EWR,YNR,PT9H23M,0,FALSE,FALSE,FALSE,264,371.58,0,,1650218040||1650241200,2022-04-17T13:54:00.000-04:00||2022-04-17T20:20:00.000-04:00,1650224700||1650251820,2022-04-17T15:45:00.000-04:00||2022-04-17T23:17:00.000-04:00,FLL||EWR,ATL||FLL,Spirit Airlines||Spirit Airlines,NK||NK,||AIRBUS INDUSTRIE A321 SHARKLETS,6660||10620,None||None,coach||coach
2e054a13a309053b63c0e238d757d658,4/16/2022,4/17/2022,ATL,IAD,HAA0OKEN,PT1H48M,0,FALSE,FALSE,TRUE,226.98,258.6,1,541,1650187800,2022-04-17T05:30:00.000-04:00,1650194280,2022-04-17T07:18:00.000-04:00,IAD,ATL,United,UA,Airbus A319,6480,541,coach
33a0ccfee1cfacad68cffff735db6727,4/16/2022,4/17/2022,ATL,IAD,UA0NX0MC,PT11H29M,1,FALSE,FALSE,FALSE,304.18,360.69,1,1078,1650252000||1650278700||1650288600,2022-04-17T23:20:00.000-04:00||2022-04-18T06:45:00.000-04:00||2022-04-18T09:30:00.000-04:00,1650257760||1650284280||1650293340,2022-04-18T00:56:00.000-04:00||2022-04-18T08:18:00.000-04:00||2022-04-18T10:49:00.000-04:00,PIT||JFK||IAD,ATL||PIT||JFK,Delta||Delta||Delta,DL||DL||DL,Airbus A321||Embraer 175||Embraer 175,5760||5580||4740,528||329||221,coach||coach||coach
5cfc831f1186378b62f262e7b2c92a54,4/16/2022,4/17/2022,ATL,IAD,EAA0OKEN,PT1H51M,0,FALSE,FALSE,TRUE,338.6,378.6,1,541,1650216240,2022-04-17T13:24:00.000-04:00,1650222900,2022-04-17T15:15:00.000-04:00,IAD,ATL,United,UA,Embraer 175 (Enhanced Winglets),6660,541,coach
2a83fbd921397c366f4b893b48573a3a,4/16/2022,4/17/2022,ATL,IAD,EAA0OKEN,PT1H51M,0,FALSE,FALSE,TRUE,338.6,378.6,1,541,1650202200,2022-04-17T09:30:00.000-04:00,1650208860,2022-04-17T11:21:00.000-04:00,IAD,ATL,United,UA,Embraer 175 (Enhanced Winglets),6660,541,coach
f43f99f64c0da3bf3afb3fea863467ad,4/16/2022,4/17/2022,ATL,IAD,KA0NX0MQ,PT6H56M,0,FALSE,FALSE,FALSE,389.76,442.59,3,983,1650201180||1650221400,2022-04-17T09:13:00.000-04:00||2022-04-17T14:50:00.000-04:00,1650208440||1650226140,2022-04-17T11:14:00.000-04:00||2022-04-17T16:09:00.000-04:00,EWR||IAD,ATL||EWR,Delta||United,DL||UA,Airbus A320||Boeing 737-800,7260||4740,762||221,coach||coach
ac78d8afdd38e117637d0e1f07dd31e5,4/16/2022,4/17/2022,ATL,IAD,KA0NX0MQ,PT8H44M,0,FALSE,FALSE,FALSE,389.76,448.19,3,983,1650194700||1650221400,2022-04-17T07:25:00.000-04:00||2022-04-17T14:50:00.000-04:00,1650201660||1650226140,2022-04-17T09:21:00.000-04:00||2022-04-17T16:09:00.000-04:00,EWR||IAD,ATL||EWR,Delta||United,DL||UA,Airbus A319||Boeing 737-800,6960||4740,762||221,coach||coach
def443f6e1e04c3bbad169e3112395a2,4/16/2022,4/17/2022,ATL,IAD,MAA0OKEN,PT1H51M,0,FALSE,FALSE,TRUE,413.02,458.6,1,541,1650238140,2022-04-17T19:29:00.000-04:00,1650244800,2022-04-17T21:20:00.000-04:00,IAD,ATL,United,UA,Embraer 170,6660,541,coach
fadbf31930ddaf565487e606f792a09d,4/16/2022,4/17/2022,ATL,IAD,K0AIZNN1,PT3H4M,0,FALSE,FALSE,FALSE,413.02,466.1,1,555,1650226680||1650233100,2022-04-17T16:18:00.000-04:00||2022-04-17T18:05:00.000-04:00,1650230760||1650237720,2022-04-17T17:26:00.000-04:00||2022-04-17T19:22:00.000-04:00,CLT||IAD,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A319||Airbus A319,4080||4620,228||327,coach||coach
